produto,marca,preço,quantidade_estoque,número_vendas,setor,modelo,valor_vendas_semana,data_venda,categoria,localizacao,desconto,valor_total_venda,fornecedor
Vestido Longo Estampado,SmartBuy,1693.95,51,32,Roupas,SB-5,54206.4,2024-07-28,Roupas,Recife,0.08,49869.89,Comercial Nu
Teclado Mecânico Razer,GigaStore,1754.43,63,31,Eletrônicos,GS-7,54387.33,2024-07-31,Eletrônicos,Brasília,0.09,49492.47,Suprimentos Sigma
Smartphone Galaxy S21,PrimeProducts,808.16,79,24,Eletrônicos,PP-8,19395.84,2024-08-01,Eletrônicos,Goiânia,0.14,16680.42,Venda Lambda
Notebook MacBook Air,QualityGoods,1344.64,90,16,Eletrônicos,QG-4,21514.24,2024-08-01,Eletrônicos,Goiânia,0.15,18287.1,Comércio Theta
Espremedor de Frutas Hamilton Beach,Trendsetter,466.25,41,15,Eletrodomésticos,TS-1,6993.75,2024-08-03,Eletrodomésticos,São Luís,0.14,6014.62,Suprimentos Sigma
Estante para Livros,SuperGadgets,842.13,33,27,Móveis,SG-7,22737.51,2024-07-31,Móveis,Brasília,0.13,19781.63,Fornecedora Gamma
Liquidificador Oster,TechNova,643.95,10,33,Eletrodomésticos,TN-6,21250.350000000002,2024-07-29,Eletrodomésticos,Fortaleza,0.02,20825.34,Armazém Kappa
Mesa de Escritório,TechNova,1281.99,73,30,Móveis,TN-8,38459.7,2024-07-31,Móveis,Cuiabá,0.11,34229.13,Fornecedora Gamma
Cadeira de Escritório com Rodízios,GigaStore,1093.22,96,18,Móveis,GS-5,19677.96,2024-08-02,Móveis,Vitória,0.09,17906.94,Mercadorias Eta
Óleo de Soja,SmartBuy,964.05,81,20,Alimentos,SB-9,19281.0,2024-07-28,Alimentos,Brasília,0.15,16388.85,Equipamentos Xi
Mesa de Escritório,Trendsetter,934.21,86,42,Móveis,TS-10,39236.82,2024-07-31,Móveis,Vitória,0.05,37274.98,Venda Lambda
Suplemento de Ferro,SmartChoice,1736.09,66,43,Saúde,SC-5,74651.87,2024-08-02,Saúde,Fortaleza,0.01,73905.35,Importadora Tau
Protetor Solar,EcoWare,1908.9,44,19,Saúde,EW-7,36269.1,2024-07-30,Saúde,Brasília,0.08,33367.57,Importadora Beta
Forno de Embutir Brastemp,InnovateTech,856.1,64,35,Eletrodomésticos,IT-6,29963.5,2024-08-02,Eletrodomésticos,Fortaleza,0.13,26068.24,Fornecedora Rho
Estante para Livros,GigaStore,1984.1,64,21,Móveis,GS-1,41666.1,2024-08-03,Móveis,Belém,0.11,37082.83,Armazém Kappa
Bicicleta Mountain Bike,BrightChoice,331.41,83,37,Esportes,BC-6,12262.17,2024-07-29,Esportes,Vitória,0.05,11649.06,Inovações Mu
Impressora Epson EcoTank,ValueLine,1833.59,73,26,Eletrônicos,VL-3,47673.34,2024-08-03,Eletrônicos,Aracaju,0.07,44336.21,Armazém Upsilon
T-shirt Básica,NextGenProducts,1641.77,50,46,Roupas,NGP-10,75521.42,2024-08-03,Roupas,Maceió,0.01,74766.21,Suprimentos Sigma
Vestido Longo Estampado,QualityGoods,557.98,9,26,Roupas,QG-8,14507.48,2024-08-02,Roupas,Recife,0.12,12766.58,Produtos Epsilon
TV LED 55'',ElectroMart,1883.66,67,29,Eletrônicos,EM-3,54626.14,2024-07-28,Eletrônicos,Maceió,0.11,48617.26,Logística Iota
Pelúcia Ursinho,SuperGadgets,388.7,13,41,Brinquedos,SG-3,15936.699999999999,2024-07-30,Brinquedos,Goiânia,0.11,14183.66,Mercadorias Eta
Cama Box King Size,InnovateTech,1516.99,85,23,Móveis,IT-5,34890.77,2024-07-30,Móveis,Porto Alegre,0.11,31052.79,Acessórios Zeta
Protetor Solar para Carro,EcoWare,1715.52,37,23,Automotivo,EW-4,39456.96,2024-07-31,Automotivo,Aracaju,0.05,37484.11,Distribuição Pi
Estação de Brinquedos,HomeEssentials,1630.91,96,2,Brinquedos,HE-10,3261.82,2024-07-31,Brinquedos,Rio de Janeiro,0.03,3163.97,Acessórios Zeta
Vestido Casual,ProLine,158.28,23,45,Roupas,PL-9,7122.6,2024-07-30,Roupas,Goiânia,0.14,6125.44,Fornecedora Gamma
Quebra-Cabeça 1000 Peças,SmartChoice,1796.03,13,16,Brinquedos,SC-1,28736.48,2024-08-02,Brinquedos,Palmas,0.13,25000.74,Suprimentos Delta
Casaco de Inverno,SmartChoice,1864.48,58,22,Roupas,SC-3,41018.56,2024-07-30,Roupas,Goiânia,0.01,40608.37,Inovações Mu
Boneco Star Wars,BrightChoice,1063.87,33,46,Brinquedos,BC-6,48938.02,2024-07-31,Brinquedos,Aracaju,0.04,46980.5,Distribuição Pi
Farinha de Trigo,ProLine,166.18,30,24,Alimentos,PL-6,3988.32,2024-08-02,Alimentos,João Pessoa,0.1,3589.49,Distribuidora Alpha
Salsicha,EcoWare,492.04,100,28,Alimentos,EW-7,13777.12,2024-08-02,Alimentos,Curitiba,0.09,12537.18,Comercial Nu
Vestido Casual,ProLine,1438.21,57,49,Roupas,PL-1,70472.29000000001,2024-07-29,Roupas,Brasília,0.01,69767.57,Fornecedora Gamma
Projetor Epson Home Cinema,ProLine,301.64,42,14,Eletrônicos,PL-5,4222.96,2024-08-02,Eletrônicos,Teresina,0.14,3631.75,Venda Lambda
Cordas de Escalada,MegaBrand,189.82,39,37,Esportes,MB-5,7023.34,2024-07-29,Esportes,Goiânia,0.14,6040.07,Comércio Theta
Cereal Matinal,EliteElectronics,312.76,39,35,Alimentos,EE-1,10946.6,2024-07-31,Alimentos,Belém,0.02,10727.67,Venda Lambda
Suporte para Celular,EliteElectronics,980.87,64,37,Automotivo,EE-2,36292.19,2024-08-01,Automotivo,São Paulo,0.12,31937.13,Comercial Nu
Vestido Casual,TechNova,698.7,15,9,Roupas,TN-3,6288.3,2024-07-31,Roupas,São Paulo,0.12,5533.7,Importadora Beta
Curativos Esterilizados,FutureTech,460.16,69,8,Saúde,FT-7,3681.28,2024-08-03,Saúde,Belo Horizonte,0.01,3644.47,Importadora Beta
Estante para Livros,EliteElectronics,182.75,46,38,Móveis,EE-10,6944.5,2024-07-28,Móveis,Porto Alegre,0.11,6180.61,Importadora Beta
Lápis de Olho Maybelline,FutureTech,1487.85,74,30,Beleza,FT-8,44635.5,2024-07-31,Beleza,Belém,0.13,38832.89,Fornecedora Gamma
Perfume Dolce & Gabbana,ProLine,1725.63,92,43,Beleza,PL-2,74202.09000000001,2024-07-28,Beleza,Aracaju,0.04,71234.01,Mercadorias Eta
Máscara de Cílios Dior,BrightChoice,1041.84,37,13,Beleza,BC-10,13543.919999999998,2024-07-29,Beleza,Curitiba,0.13,11783.21,Armazém Upsilon
Hidratante para Corpo Natura,SmartChoice,442.92,73,43,Beleza,SC-6,19045.56,2024-07-28,Beleza,Cuiabá,0.1,17141.0,Acessórios Zeta
Torradeira Philips,SmartChoice,1100.67,96,12,Eletrodomésticos,SC-4,13208.04,2024-08-01,Eletrodomésticos,Salvador,0.09,12019.32,Comércio Theta
Cobertura para Carro,EcoWare,865.4,61,29,Automotivo,EW-2,25096.6,2024-07-31,Automotivo,Maceió,0.12,22085.01,Importadora Beta
Monitor UltraWide 34'',FutureTech,339.29,69,35,Eletrônicos,FT-8,11875.150000000001,2024-07-28,Eletrônicos,Teresina,0.04,11400.14,Acessórios Zeta
Máscara de Cílios Dior,InnovateTech,1473.56,35,42,Beleza,IT-4,61889.52,2024-08-01,Beleza,Teresina,0.1,55700.57,Equipamentos Xi
Fogão Electrolux,EliteElectronics,121.57,32,17,Eletrodomésticos,EE-9,2066.69,2024-08-02,Eletrodomésticos,Curitiba,0.13,1798.02,Fornecedora Rho
Vestido Casual,GigaStore,1743.7,24,36,Roupas,GS-2,62773.200000000004,2024-07-31,Roupas,Cuiabá,0.13,54612.68,Distribuidora Alpha
Impressora HP DeskJet,NextGenProducts,1216.78,57,27,Eletrônicos,NGP-4,32853.06,2024-07-28,Eletrônicos,Aracaju,0.03,31867.47,Suprimentos Delta
Cordas de Escalada,EcoWare,278.4,85,49,Esportes,EW-8,13641.599999999999,2024-07-31,Esportes,Salvador,0.14,11731.78,Importadora Tau
Suplemento de Ômega 3,HomeEssentials,140.18,86,9,Saúde,HE-10,1261.6200000000001,2024-08-02,Saúde,Teresina,0.01,1249.0,Logística Iota
Fone de Ouvido AirPods,InnovateTech,1197.95,42,3,Eletrônicos,IT-9,3593.8500000000004,2024-07-28,Eletrônicos,Curitiba,0.02,3521.97,Serviços Omicron
Jogo de Vídeo Game para Crianças,ValueLine,112.95,43,9,Brinquedos,VL-5,1016.5500000000001,2024-08-01,Brinquedos,João Pessoa,0.04,975.89,Suprimentos Delta
Chá Verde,Trendsetter,473.35,89,9,Alimentos,TS-5,4260.150000000001,2024-07-30,Alimentos,Teresina,0.06,4004.54,Armazém Upsilon
Tênis de Corrida Asics,EliteElectronics,273.59,31,10,Esportes,EE-10,2735.8999999999996,2024-07-30,Esportes,Cuiabá,0.03,2653.82,Suprimentos Delta
Desumidificador Britânia,EliteElectronics,711.96,72,41,Eletrodomésticos,EE-3,29190.36,2024-07-31,Eletrodomésticos,Curitiba,0.09,26563.23,Suprimentos Delta
Kit de Pesca,FutureTech,876.1,96,28,Esportes,FT-9,24530.8,2024-07-31,Esportes,Vitória,0.08,22568.34,Importadora Tau
Macarrão Penne,SmartBuy,1362.76,20,31,Alimentos,SB-9,42245.56,2024-07-28,Alimentos,Campo Grande,0.09,38443.46,Comércio Theta
Antisséptico Bucal,SuperGadgets,309.25,78,31,Saúde,SG-1,9586.75,2024-07-29,Saúde,Porto Alegre,0.01,9490.88,Suprimentos Sigma
Canoe Kayak,EcoWare,1538.39,61,34,Esportes,EW-4,52305.26,2024-07-28,Esportes,Recife,0.02,51259.15,Armazém Kappa
Notebook Dell XPS 13,SmartChoice,1870.35,13,37,Eletrônicos,SC-7,69202.95,2024-08-03,Eletrônicos,Curitiba,0.08,63666.71,Suprimentos Delta
Margarina,QualityGoods,1894.28,26,11,Alimentos,QG-5,20837.079999999998,2024-07-29,Alimentos,João Pessoa,0.03,20211.97,Fornecedora Rho
Console PlayStation 5,ElectroMart,1755.08,45,15,Eletrônicos,EM-8,26326.199999999997,2024-08-02,Eletrônicos,Brasília,0.03,25536.41,Armazém Kappa
Teclado Mecânico Razer,GigaStore,923.65,31,38,Eletrônicos,GS-8,35098.7,2024-07-29,Eletrônicos,Teresina,0.13,30535.87,Fornecedora Rho
Escova de Dentes Elétrica,InnovateTech,209.69,84,2,Saúde,IT-2,419.38,2024-07-30,Saúde,Aracaju,0.07,390.02,Inovações Mu
Robô Educativo,BrightChoice,319.64,79,37,Brinquedos,BC-8,11826.68,2024-08-03,Brinquedos,Curitiba,0.05,11235.35,Suprimentos Sigma
Mesa de Café com 2 Puffs,SmartChoice,774.08,59,37,Móveis,SC-10,28640.960000000003,2024-07-30,Móveis,Campo Grande,0.11,25490.45,Suprimentos Delta
Batedeira KitchenAid,Trendsetter,1710.63,59,22,Eletrodomésticos,TS-4,37633.86,2024-08-01,Eletrodomésticos,Belém,0.09,34246.81,Importadora Beta
Banco de Jardim,EcoWare,111.62,14,36,Móveis,EW-1,4018.32,2024-07-31,Móveis,Belém,0.15,3415.57,Importadora Tau
Kit de Maquiagem O Boticário,TechNova,1500.05,94,15,Beleza,TN-5,22500.75,2024-08-01,Beleza,João Pessoa,0.06,21150.7,Inovações Mu
Mochila de Trekking,NextGenProducts,1327.75,100,37,Esportes,NGP-3,49126.75,2024-07-31,Esportes,Vitória,0.06,46179.14,Comércio Theta
Enlatado de Milho,PrimeProducts,104.21,36,7,Alimentos,PP-2,729.4699999999999,2024-08-04,Alimentos,São Luís,0.08,671.11,Inovações Mu
Mesa de Centro,OptimaGoods,848.17,37,4,Móveis,OG-3,3392.68,2024-07-30,Móveis,Salvador,0.08,3121.27,Importadora Beta
Jaqueta de Couro,SuperGadgets,1006.54,69,39,Roupas,SG-5,39255.06,2024-08-01,Roupas,Cuiabá,0.09,35722.1,Importadora Beta
Mesa de Cabeceira,TechNova,1785.4,24,49,Móveis,TN-9,87484.6,2024-08-02,Móveis,Salvador,0.04,83985.22,Logística Iota
Farinha de Trigo,SmartBuy,1542.5,31,32,Alimentos,SB-4,49360.0,2024-08-03,Alimentos,Fortaleza,0.08,45411.2,Distribuição Pi
Camiseta de Manga Longa,QualityGoods,610.52,57,26,Roupas,QG-6,15873.52,2024-07-29,Roupas,Palmas,0.07,14762.37,Serviços Omicron
Console PlayStation 5,EliteElectronics,213.51,21,3,Eletrônicos,EE-8,640.53,2024-07-30,Eletrônicos,Brasília,0.09,582.88,Produtos Epsilon
Playmobil Aventuras,ProLine,939.96,65,17,Brinquedos,PL-1,15979.32,2024-08-01,Brinquedos,Palmas,0.09,14541.18,Produtos Epsilon
Banco de Jardim,SuperGadgets,1482.28,81,30,Móveis,SG-6,44468.4,2024-07-30,Móveis,Vitória,0.08,40910.93,Distribuidora Alpha
Guarda-Roupa 6 Portas,ProLine,768.36,66,32,Móveis,PL-9,24587.52,2024-07-30,Móveis,Manaus,0.05,23358.14,Distribuição Pi
Água Micelar Garnier,GigaStore,1372.09,45,3,Beleza,GS-9,4116.2699999999995,2024-07-29,Beleza,Belém,0.02,4033.94,Comércio Theta
Purificador de Água Consul,Trendsetter,476.95,68,47,Eletrodomésticos,TS-4,22416.649999999998,2024-08-04,Eletrodomésticos,Recife,0.07,20847.48,Produtos Epsilon
Cadeira de Escritório Ergonômica,SmartBuy,816.08,72,45,Móveis,SB-6,36723.6,2024-07-31,Móveis,São Paulo,0.05,34887.42,Equipamentos Xi
Colchonete para Yoga,ValueLine,1956.81,19,9,Esportes,VL-6,17611.29,2024-08-04,Esportes,Teresina,0.14,15145.71,Distribuição Pi
Creme para Mãos Granado,TechNova,264.88,97,23,Beleza,TN-10,6092.24,2024-08-03,Beleza,Recife,0.14,5239.33,Comércio Theta
Projetor Epson Home Cinema,SuperGadgets,1578.94,45,43,Eletrônicos,SG-6,67894.42,2024-07-29,Eletrônicos,Aracaju,0.06,63820.75,Distribuição Pi
Blush MAC,ElectroMart,128.88,75,28,Beleza,EM-6,3608.64,2024-08-04,Beleza,Belém,0.03,3500.38,Venda Lambda
Smartwatch Galaxy Watch 4,NextGenProducts,457.23,32,14,Eletrônicos,NGP-5,6401.22,2024-08-02,Eletrônicos,Brasília,0.06,6017.15,Comercial Nu
Repelente de Insetos,Trendsetter,1728.85,49,1,Saúde,TS-7,1728.85,2024-08-01,Saúde,Teresina,0.01,1711.56,Importadora Tau
Cama Infantil,QualityGoods,167.27,32,43,Móveis,QG-3,7192.610000000001,2024-08-03,Móveis,Maceió,0.13,6257.57,Importadora Tau
Teclado Mecânico Razer,InnovateTech,496.84,37,45,Eletrônicos,IT-8,22357.8,2024-08-04,Eletrônicos,Belém,0.06,21016.33,Fornecedora Gamma
Pomada para Cortes,HomeEssentials,858.2,49,21,Saúde,HE-10,18022.2,2024-08-02,Saúde,Aracaju,0.1,16219.98,Importadora Tau
Jogo de Vídeo Game para Crianças,Trendsetter,1590.93,89,4,Brinquedos,TS-9,6363.72,2024-08-01,Brinquedos,Salvador,0.02,6236.45,Fornecedora Gamma
Poltrona Reclinável,GigaStore,292.91,72,11,Móveis,GS-10,3222.01,2024-07-31,Móveis,Palmas,0.0,3222.01,Armazém Upsilon
Máscara Facial Neutrogena,HomeEssentials,1538.23,22,10,Beleza,HE-4,15382.3,2024-07-30,Beleza,Salvador,0.02,15074.65,Inovações Mu
Projetor Epson Home Cinema,FutureTech,318.74,95,45,Eletrônicos,FT-4,14343.300000000001,2024-08-01,Eletrônicos,Aracaju,0.0,14343.3,Venda Lambda
Suco de Laranja,PrimeProducts,1146.19,88,15,Alimentos,PP-1,17192.850000000002,2024-08-04,Alimentos,Teresina,0.09,15645.49,Importadora Beta
Margarina,EliteElectronics,461.71,97,23,Alimentos,EE-2,10619.33,2024-08-04,Alimentos,Maceió,0.04,10194.56,Suprimentos Delta
Geladeira Samsung Frost Free,SmartBuy,1248.81,9,21,Eletrodomésticos,SB-1,26225.01,2024-08-03,Eletrodomésticos,Cuiabá,0.06,24651.51,Comércio Theta
Perfume Chanel No. 5,PrimeProducts,793.65,34,48,Beleza,PP-7,38095.2,2024-08-02,Beleza,Maceió,0.04,36571.39,Fornecedora Rho
Frigobar Electrolux,PrimeProducts,1782.21,97,31,Eletrodomésticos,PP-10,55248.51,2024-07-30,Eletrodomésticos,Porto Alegre,0.13,48066.2,Armazém Kappa
Leite Desnatado,InnovateTech,1243.13,31,13,Alimentos,IT-2,16160.690000000002,2024-07-29,Alimentos,Belo Horizonte,0.09,14706.23,Mercadorias Eta
Arroz Integral,EcoWare,1974.82,66,11,Alimentos,EW-9,21723.02,2024-08-03,Alimentos,Salvador,0.13,18899.03,Acessórios Zeta
Farinha de Trigo,OptimaGoods,923.47,6,7,Alimentos,OG-6,6464.29,2024-07-30,Alimentos,Curitiba,0.05,6141.08,Suprimentos Sigma
Cabo de Ignição NGK,ValueLine,294.25,23,3,Automotivo,VL-6,882.75,2024-08-04,Automotivo,Manaus,0.04,847.44,Equipamentos Xi
Luvas de Boxe Everlast,ValueLine,1973.59,68,32,Esportes,VL-4,63154.88,2024-07-31,Esportes,São Luís,0.15,53681.65,Mercadorias Eta
Colchonete para Yoga,TechNova,557.85,5,6,Esportes,TN-6,3347.1000000000004,2024-08-03,Esportes,Salvador,0.09,3045.86,Equipamentos Xi
Console PlayStation 5,Trendsetter,438.46,56,11,Eletrônicos,TS-6,4823.0599999999995,2024-08-02,Eletrônicos,Goiânia,0.1,4340.75,Distribuidora Alpha
Feijão Preto,EcoWare,1706.13,36,16,Alimentos,EW-3,27298.08,2024-08-02,Alimentos,Curitiba,0.08,25114.23,Fornecedora Gamma
Forno de Embutir Brastemp,EcoWare,1378.91,13,41,Eletrodomésticos,EW-9,56535.310000000005,2024-07-31,Eletrodomésticos,Campo Grande,0.01,55969.96,Comércio Theta
Monitor UltraWide 34'',SmartBuy,106.61,53,30,Eletrônicos,SB-8,3198.3,2024-07-31,Eletrônicos,Maceió,0.02,3134.33,Fornecedora Rho
Perfume Dolce & Gabbana,FutureTech,1844.71,93,19,Beleza,FT-1,35049.49,2024-07-31,Beleza,Cuiabá,0.05,33297.02,Acessórios Zeta
Mala de Viagem,ProLine,1962.52,81,41,Automotivo,PL-5,80463.31999999999,2024-07-30,Automotivo,João Pessoa,0.07,74830.89,Equipamentos Xi
Desinfetante Antisséptico,EcoWare,120.5,86,50,Saúde,EW-1,6025.0,2024-08-01,Saúde,Campo Grande,0.06,5663.5,Produtos Epsilon
Casaco de Inverno,ValueLine,1353.85,79,38,Roupas,VL-2,51446.299999999996,2024-08-04,Roupas,Campo Grande,0.09,46816.13,Importadora Beta
Sofá Retrátil 3 Lugares,PrimeProducts,629.3,5,15,Móveis,PP-4,9439.5,2024-07-29,Móveis,Teresina,0.03,9156.32,Distribuidora Alpha
Porta-Copos Automotivo,SmartBuy,1878.92,29,12,Automotivo,SB-5,22547.04,2024-08-02,Automotivo,Curitiba,0.01,22321.57,Suprimentos Delta
Bola de Basquete Spalding,TechNova,1213.42,97,42,Esportes,TN-3,50963.64,2024-07-29,Esportes,Aracaju,0.04,48925.09,Suprimentos Sigma
Smartphone Galaxy S21,BrightChoice,1343.31,93,20,Eletrônicos,BC-6,26866.199999999997,2024-08-04,Eletrônicos,João Pessoa,0.14,23104.93,Distribuição Pi
Creme Anti-Idade L'Oréal,MegaBrand,1401.9,44,46,Beleza,MB-1,64487.4,2024-08-03,Beleza,Rio de Janeiro,0.14,55459.16,Importadora Beta
Antisséptico Bucal,SmartChoice,1593.35,60,8,Saúde,SC-6,12746.8,2024-07-29,Saúde,Curitiba,0.04,12236.93,Fornecedora Gamma
Granola,SuperGadgets,1609.23,54,50,Alimentos,SG-8,80461.5,2024-08-04,Alimentos,São Paulo,0.07,74829.19,Fornecedora Gamma
Ventilador Mondial,MegaBrand,1396.45,75,24,Eletrodomésticos,MB-9,33514.8,2024-07-29,Eletrodomésticos,São Luís,0.09,30498.47,Distribuição Pi
Vestido Casual,EliteElectronics,327.44,55,27,Roupas,EE-2,8840.88,2024-08-03,Roupas,Rio de Janeiro,0.06,8310.43,Acessórios Zeta
Monitor UltraWide 34'',QualityGoods,254.78,9,50,Eletrônicos,QG-9,12739.0,2024-07-29,Eletrônicos,Recife,0.15,10828.15,Suprimentos Delta
Protetor Solar para Carro,EliteElectronics,291.54,60,34,Automotivo,EE-10,9912.36,2024-08-01,Automotivo,Campo Grande,0.1,8921.12,Mercadorias Eta
Carrinho Hot Wheels,ElectroMart,1542.99,62,33,Brinquedos,EM-1,50918.67,2024-08-04,Brinquedos,São Luís,0.02,49900.3,Produtos Epsilon
Drone DJI Mavic,QualityGoods,658.12,8,22,Eletrônicos,QG-4,14478.64,2024-08-01,Eletrônicos,Goiânia,0.06,13609.92,Fornecedora Gamma
Hidratante para Corpo Natura,PrimeProducts,251.45,98,44,Beleza,PP-1,11063.8,2024-08-03,Beleza,Rio de Janeiro,0.03,10731.89,Venda Lambda
Vestido Casual,OptimaGoods,316.2,20,23,Roupas,OG-9,7272.599999999999,2024-08-01,Roupas,Fortaleza,0.08,6690.79,Fornecedora Gamma
Boneca Barbie Fashion,Trendsetter,1138.65,44,3,Brinquedos,TS-1,3415.9500000000003,2024-08-03,Brinquedos,São Paulo,0.13,2971.88,Mercadorias Eta
Lavadora de Roupas LG,SmartBuy,844.98,94,43,Eletrodomésticos,SB-6,36334.14,2024-08-03,Eletrodomésticos,Vitória,0.06,34154.09,Serviços Omicron
Smartphone Galaxy S21,ElectroMart,615.06,66,35,Eletrônicos,EM-5,21527.1,2024-07-31,Eletrônicos,Palmas,0.04,20666.02,Suprimentos Sigma
